vendor_pn,brand,oem_display,description,broom_type,broom_type_label,size_in,filament,pattern,compatible_models,model_codes,phase,publish_status,slug,qty
SY11-4702,Tennant,11-4702,"Main Scrub 47"" 20 S.R. Poly",cylindrical_scrub,Cylindrical Scrub,"47""",Poly,single_row,7300|8300,039|043,2,pending,tennant-11-4702-cylindrical-scrub-47-poly,2
SY11-4703,Tennant,11-4703,"Main Scrub 47"" 20 S.R. Soft Nylon",cylindrical_scrub,Cylindrical Scrub,"47""",Soft Nylon,single_row,7300|8300,039|043,2,pending,tennant-11-4703-cylindrical-scrub-47-soft-nylon,2
SY11-4803,Tennant,11-4803,"Main Broom 48"" 8 D.R. Crimped Wire",main_broom,Main Broom,"48""",Crimped Wire,double_row,360,023,1,pending,tennant-11-4803-main-broom-48-crimped-wire,1
SY11-4804,Tennant,11-4804,"Main Broom 48"" 8 D.R. Union/Wire",main_broom,Main Broom,"48""",Union/Wire,double_row,360,023,1,pending,tennant-11-4804-main-broom-48-union-wire,1
SY11-4805,Tennant,11-4805,"Main Broom 48"" 8 D.R. Proex/Wire",main_broom,Main Broom,"48""",Proex/Wire,double_row,360|365,023|024,1,pending,tennant-11-4805-main-broom-48-proex-wire,1
SY11-4831,Tennant,11-4831,"Main Broom 48"" 24 S.R. Union/Wire",main_broom,Main Broom,"48""",Union/Wire,single_row,360|365,023|024,1,pending,tennant-11-4831-main-broom-48-union-wire,1
SY11-4832,Tennant,11-4832,"Main Broom 48"" 24 S.R. Nylon",main_broom,Main Broom,"48""",Nylon,single_row,360|365,023|024,1,pending,tennant-11-4832-main-broom-48-nylon,1
SY11-4836,Tennant,11-4836,"Main Broom 48"" 8 D.R. Nylon",main_broom,Main Broom,"48""",Nylon,double_row,360|365,023|024,1,pending,tennant-11-4836-main-broom-48-nylon,1
SY11-4837,Tennant,11-4837,"Main Broom 48"" 8 D.R. Proex",main_broom,Main Broom,"48""",,double_row,360,023,1,pending,tennant-11-4837-main-broom-48,1
SY11-4840,Tennant,11-4840,"Main Scrub 48"" 24 S.R. .060 Grit",cylindrical_scrub,Cylindrical Scrub,"48""",,single_row,M30,048,2,pending,tennant-11-4840-cylindrical-scrub-48,1
SY11-4841,Tennant,11-4841,"Main Scrub 48"" 24 S.R. Poly",cylindrical_scrub,Cylindrical Scrub,"48""",Poly,single_row,M30,048,2,pending,tennant-11-4841-cylindrical-scrub-48-poly,2
SY11-4842,Tennant,11-4842,"Main Scrub 48"" 24 S.R. Stiff Poly",cylindrical_scrub,Cylindrical Scrub,"48""",Stiff Poly,single_row,M30,048,2,pending,tennant-11-4842-cylindrical-scrub-48-stiff-poly,1
SY11-4843,Tennant,11-4843,"Main Scrub 48"" 24 S.R. Polyester",cylindrical_scrub,Cylindrical Scrub,"48""",,single_row,M30,048,2,pending,tennant-11-4843-cylindrical-scrub-48,1
SY11-4845,Tennant,11-4845,"Main Scrub 48"" Window Poly",cylindrical_scrub,Cylindrical Scrub,"48""",Poly,,M30,048,2,pending,tennant-11-4845-cylindrical-scrub-48-poly,1
SY11-4901,Tennant,11-4901,"Main Broom 49.5"" 24 S.R. Nylon",main_broom,Main Broom,"49.5""",Nylon,single_row,97|800|810,008,1,pending,tennant-11-4901-main-broom-49-5-nylon,1
SY11-4902,Tennant,11-4902,"Main Broom 49.5"" Crimped Wire",main_broom,Main Broom,"49.5""",Crimped Wire,,97|800|810,008,1,pending,tennant-11-4902-main-broom-49-5-crimped-wire,1
SY11-4903,Tennant,11-4903,"Main Broom 49.5"" 8 D.R. Stiff Proex/Wire",main_broom,Main Broom,"49.5""",Proex/Wire,double_row,97|800|810,008,1,pending,tennant-11-4903-main-broom-49-5-proex-wire,1
SY11-4904,Tennant,11-4904,"Main Broom 49.5"" 8 D.R. Nylon",main_broom,Main Broom,"49.5""",Nylon,double_row,97|800|810,008,1,pending,tennant-11-4904-main-broom-49-5-nylon,1
SY11-4905,Tennant,11-4905,"Main Broom 49.5"" 8 D.R. Stiff Proex",main_broom,Main Broom,"49.5""",,double_row,97|800|810,008,1,pending,tennant-11-4905-main-broom-49-5,1
SY11-4906,Tennant,11-4906,"Main Broom 49.5"" 4 Q.R. Nylon Patrol",main_broom,Main Broom,"49.5""",Nylon Patrol,patrol,97|800|810,008,1,pending,tennant-11-4906-main-broom-49-5-nylon-patrol,1
SY11-4907,Tennant,11-4907,"Main Broom 49.5"" 8 D.R. Extra Stiff Proex",main_broom,Main Broom,"49.5""",,double_row,97|800|810,008,1,pending,tennant-11-4907-main-broom-49-5,1
SY11-5001,Tennant,11-5001,"Main Broom 50"" 24 S.R. Nylon",main_broom,Main Broom,"50""",Nylon,single_row,92|95,003,1,pending,tennant-11-5001-main-broom-50-nylon,1
SY11-5002,Tennant,11-5002,"Main Broom 50"" 8 D.R. Crimped Wire",main_broom,Main Broom,"50""",Crimped Wire,double_row,92|95,003,1,pending,tennant-11-5002-main-broom-50-crimped-wire,1
SY11-5003,Tennant,11-5003,"Main Broom 50"" 8 D.R. Proex/Wire",main_broom,Main Broom,"50""",Proex/Wire,double_row,92|95,003,1,pending,tennant-11-5003-main-broom-50-proex-wire,1
