id,slug,name,voltage,current,phase,family,price_cents,bucket
5a393983-ec61-4aeb-94b5-b71eebf2bab7,green2-48v-45a,GREEN2 48V 45A,48,45,1P,green2,110000,48V|45A|1P|green2
463943c9-ea3d-4abe-a442-162968bb88cc,green4-24v-35a,GREEN4 24V 35A,24,35,1P,green4,160000,24V|35A|1P|green4
1d6ac6ed-1c04-4643-8c96-82c37690a58c,green2-80v-45a,GREEN2 80V 45A,80,45,1P,green2,110000,80V|45A|1P|green2
06cf532b-c4c5-4764-a838-df88c574fa91,green2-80v-20a,GREEN2 80V 20A,80,20,1P,green2,110000,80V|20A|1P|green2
5ab63e0a-75b3-48be-a4c7-da644672c297,green2-80v-40a,GREEN2 80V 40A,80,40,1P,green2,110000,80V|40A|1P|green2
71c6f345-a451-4d5b-b276-2e30e833a0a4,green2-80v-70a,GREEN2 80V 70A,80,70,1P,green2,110000,80V|70A|1P|green2
1e54f810-1bc0-4954-a63f-742dee37912d,green4-24v-40a,GREEN4 24V 40A,24,40,1P,green4,160000,24V|40A|1P|green4
28268784-3476-4b19-a8ff-f3217a7497af,green4-24v-75a,GREEN4 24V 75A,24,75,1P,green4,160000,24V|75A|1P|green4
596613d3-6d25-4794-a3b5-db51f437eb7d,green4-36v-120a,GREEN4 36V 120A,36,120,1P,green4,160000,36V|120A|1P|green4
27a777f3-5bed-427b-be1e-3a879e0f5fc9,green4-36v-75a,GREEN4 36V 75A,36,75,1P,green4,160000,36V|75A|1P|green4
d3d2df66-516d-44c3-9a8b-2b5800322624,green4-36v-40a,GREEN4 36V 40A,36,40,1P,green4,160000,36V|40A|1P|green4
baab0227-eac2-4585-963c-e1c1a6ac3815,green4-48v-90a,GREEN4 48V 90A,48,90,1P,green4,160000,48V|90A|1P|green4
f2ff7bdd-3a4d-4b54-9834-fda97fa7f9c7,green4-80v-90a,GREEN4 80V 90A,80,90,1P,green4,160000,80V|90A|1P|green4
e709f5cf-98cb-4725-a044-32fc5fd6ca95,green4-48v-40a,GREEN4 48V 40A,48,40,1P,green4,160000,48V|40A|1P|green4
df2a1408-d0d1-4be4-a681-9fc5cdea742b,green4-80v-120a,GREEN4 80V 120A,80,120,1P,green4,160000,80V|120A|1P|green4
4f537f14-78ea-4418-bd1f-ca42894d8eaf,green4-48v-35a,GREEN4 48V 35A,48,35,1P,green4,160000,48V|35A|1P|green4
4cf0b8de-9b57-4282-8e39-3dac6a31d2c8,green4-80v-40a,GREEN4 80V 40A,80,40,1P,green4,160000,80V|40A|1P|green4
27a95598-83c4-463e-980d-9e3b41258822,green4-48v-75a,GREEN4 48V 75A,48,75,1P,green4,160000,48V|75A|1P|green4
554aefba-79be-404f-ad1e-b833532fa9d2,green2-24v-40a,GREEN2 24V 40A,24,40,1P,green2,110000,24V|40A|1P|green2
769caf9e-1a67-4d02-a98e-da3a12005223,green2-24v-45a,GREEN2 24V 45A,24,45,1P,green2,110000,24V|45A|1P|green2
dce013d3-da8b-45cc-85d4-a4e14a4e2193,green2-24v-70a,GREEN2 24V 70A,24,70,1P,green2,110000,24V|70A|1P|green2
6583f764-f238-4b8c-b49b-5366080e6bff,green2-24v-20a,GREEN2 24V 20A,24,20,1P,green2,110000,24V|20A|1P|green2
